Location,2020 PCPI,2021 PCPI,2022 PCPI,2022 Rank
United States,59153,64430,65470,1
United States Metropolitan portion,61202,66666,67767,1
United States Nonmetropolitan portion,46220,50312,50917,1
"Abilene, TX",48195,52537,53457,227
"Akron, OH",54631,59333,60170,122
"Albany, GA",42025,46851,45893,346
"Albany-Lebanon, OR",47621,51999,52469,241
"Albany-Schenectady-Troy, NY",62798,66966,66984,63
"Albuquerque, NM",48654,52972,53954,219
"Alexandria, LA",47730,51115,51451,261
"Allentown-Bethlehem-Easton, PA-NJ",59407,62247,62912,94
"Altoona, PA",50853,55162,55101,193
"Amarillo, TX",52122,56394,57124,163
"Ames, IA",45861,49501,50657,273
"Anchorage, AK",63703,67529,70566,42
"Ann Arbor, MI",64606,69892,71368,40
"Anniston-Oxford, AL",39591,43045,42533,375
"Appleton, WI",54943,59015,60060,125
"Asheville, NC",50098,55551,57810,155
"Athens-Clarke County, GA",44708,48525,49884,284
"Atlanta, GA",58140,63474,64107,81
"Atlantic City-Hammonton, NJ",53533,57351,55918,180
"Auburn-Opelika, AL",41326,45046,46691,336
"Augusta-Richmond County, GA-SC",46859,49961,49496,292
"Austin, TX",64453,71844,75119,25
"Bakersfield, CA",44490,46651,44862,363
"Baltimore, MD",65676,70023,71420,39
"Bangor, ME",47264,50753,51998,251
"Barnstable Town, MA",79606,83891,85317,12
"Baton Rouge, LA",52635,56839,56897,167
"Battle Creek, MI",43593,45582,44904,360
"Bay City, MI",47030,50367,49667,289
"Beaumont-Port Arthur, TX",46516,48960,49526,291
"Beckley, WV",42542,46426,47065,331
"Bellingham, WA",53867,58581,58993,135
"Bend, OR",64080,70161,71627,36
"Billings, MT",56200,61824,64017,82
"Binghamton, NY",47886,50470,49216,296
"Birmingham-Hoover, AL",54817,60157,62262,99
"Bismarck, ND",61067,67147,68698,50
"Blacksburg-Christiansburg, VA",40883,44730,46345,342
"Bloomington, IL",54939,59244,58178,148
"Bloomington, IN",47966,52171,53735,220
"Bloomsburg-Berwick, PA",50359,53507,53399,228
"Boise City, ID",51706,56963,59739,126
"Boston, MA",84684,92402,94082,8
"Boulder, CO",81673,93472,98553,7
"Bowling Green, KY",40407,44024,44902,361
"Bremerton-Silverdale-Port Orchard, WA",62192,66919,68198,55
"Bridgeport-Stamford-Norwalk, CT",115859,119982,125185,4
"Brownsville-Harlingen, TX",33704,38001,37325,383
"Brunswick, GA",48683,53744,54827,196
"Buffalo-Cheektowaga, NY",54208,56847,56414,175
"Burlington, NC",44223,48218,48980,302
"Burlington-South Burlington, VT",61207,65021,67342,62
"California-Lexington Park, MD",62459,65118,66146,66
"Canton-Massillon, OH",48671,52663,53175,232
"Cape Coral-Fort Myers, FL",58139,62783,63568,86
"Cape Girardeau, MO-IL",45765,48085,49170,297
"Carbondale-Marion, IL",45312,48931,48363,308
"Carson City, NV",54776,59579,61026,110
